"createdAt","latitude","letalidade","longitude","nome","objectId","percent","qtd_confirmado","qtd_obito","updatedAt"
"2020-03-25T23:37:11.094Z","-9.97499","0%","-67.8243","Acre","uTN8WP10HY","0%",43,0,"2020-04-01T19:51:37.338Z"
"2020-03-25T23:37:11.098Z","-9.66599","5,6%","-35.735","Alagoas","XHUDIFEjQy",,18,1,"2020-04-01T19:51:54.649Z"
"2020-03-25T23:37:11.100Z","0.034934","0%","-51.0694","Amapá","kfOtyvDHh3",,11,0,"2020-04-01T19:51:47.598Z"
"2020-03-25T23:37:11.101Z","-3.11866","1,5%","-60.0212","Amazonas","kZjftVxsJ2",,200,3,"2020-04-01T19:52:41.540Z"
"2020-03-25T23:37:11.114Z","-12.9718","0,8%","-38.5011","Bahia","alzUcJAbsL",,246,2,"2020-04-01T19:52:55.740Z"
"2020-03-25T23:37:11.120Z","-3.71664","1,8%","-38.5423","Ceará","ThJDLoQlin",,444,8,"2020-04-01T19:53:55.172Z"
"2020-03-25T23:37:11.118Z","-15.7795","0,8%","-47.9297","Distrito Federal","U8jHH89IkZ",,355,3,"2020-04-01T19:53:10.079Z"
"2020-03-25T23:37:11.118Z","-20.3155","0%","-40.3128","Espírito Santo","LlLUQQW7em",,96,0,"2020-04-01T19:53:39.077Z"
"2020-03-25T23:37:11.120Z","-16.6864","1,4%","-49.2643","Goiás","MOPNB3fPnM",,71,1,"2020-04-01T19:54:06.438Z"
"2020-03-25T23:37:11.116Z","-2.53874","1,9%","-44.2825","Maranhão","fwHJWgSphk",,54,1,"2020-04-01T19:53:25.878Z"
"2020-03-25T23:37:11.128Z","-15.601","0%","-56.0974","Mato Grosso","EPgf4v3eYo",,27,0,"2020-04-01T19:54:28.981Z"
"2020-03-25T23:37:11.142Z","-20.4486","2,0%","-54.6295","Mato Grosso do Sul","EgBxJSFJkf",,51,1,"2020-04-01T19:57:15.617Z"
"2020-03-25T23:37:11.132Z","-19.9102","1,0%","-43.9266","Minas Gerais","2v59GBInrd",,314,3,"2020-04-01T19:54:47.789Z"
"2020-03-25T23:37:11.137Z","-25.4195","1,3%","-49.2646","Paraná","cSB7DrlxKW",,224,3,"2020-04-01T19:56:09.550Z"
"2020-03-25T23:37:11.144Z","-7.11509","5,0%","-34.8641","Paraíba","6eSlyH3T4n",,20,1,"2020-04-01T19:58:13.394Z"
"2020-03-25T23:37:11.129Z","-1.4554","0%","-48.4898","Pará","d1ejs3xsWl",,40,1,"2020-04-01T21:46:47.478Z"
"2020-03-25T23:37:11.134Z","-8.04666","8,4%","-34.8771","Pernambuco","fnVKeAvGLb",,95,8,"2020-04-01T19:55:06.170Z"
"2020-03-25T23:37:11.138Z","-5.09194","22,2%","-42.8034","Piauí","gQiBOengLe",,18,4,"2020-03-31T19:56:42.464Z"
"2020-03-25T23:37:11.137Z","-5.79357","2,2%","-35.1986","Rio Grande do Norte","ZEqcJDbUUk",,92,2,"2020-04-01T19:55:22.059Z"
"2020-03-25T23:37:11.137Z","-30.0318","1,3%","-51.2065","Rio Grande do Sul","zWseWwWhhn",,306,4,"2020-04-01T19:55:38.280Z"
"2020-03-25T23:37:11.137Z","-22.9129","3,4%","-43.2003","Rio de Janeiro","SgfpOQHx9r",,832,28,"2020-04-01T19:56:41.610Z"
"2020-03-25T23:37:11.139Z","-8.76077","11,1%","-63.8999","Rondônia","IeCnkqtfOf",,9,1,"2020-04-01T19:56:57.500Z"
"2020-03-25T23:37:11.141Z","2.82384","0","-60.6753","Roraima","OpUETQp72a",,22,0,"2020-04-01T19:57:36.513Z"
"2020-03-25T23:37:11.156Z","-27.5945","0,9%","-48.5477","Santa Catarina","v64fT2DVSw",,235,2,"2020-04-01T19:58:32.980Z"
"2020-03-25T23:37:11.142Z","-10.9091","0%","-37.0677","Sergipe","VpSNd1zJrg",,20,0,"2020-04-01T19:57:27.368Z"
"2020-03-25T23:37:11.143Z","-23.5329","5,5%","-46.6395","São Paulo","AIzthCzqdx",,2981,164,"2020-04-01T19:57:57.858Z"
"2020-03-25T23:37:11.153Z","-10.24","0%","-48.3558","Tocantins","bsZ2atdJ6V",,12,0,"2020-04-01T19:58:21.722Z"
