latitude,longitude,nome
-9.97499,-67.8243,Acre
-9.66599,-35735,Alagoas
0.034934,-51.0694,Amapá
-3.11866,-60.0212,Amazonas
-12.9718,-38.5011,Bahia
-3.71664,-38.5423,Ceará
-15.7795,-47.9297,Distrito Federal
-20.3155,-40.3128,Espírito Santo
-16.6864,-49.2643,Goiás
-2.53874,-44.2825,Maranhão
-15601,-56.0974,Mato Grosso
-20.4486,-54.6295,Mato Grosso do Sul
-19.9102,-43.9266,Minas Gerais
-25.4195,-49.2646,Paraná
-7.11509,-34.8641,Paraíba
-1.4554,-48.4898,Pará
-8.04666,-34.8771,Pernambuco
-5.09194,-42.8034,Piauí
-5.79357,-35.1986,Rio Grande do Norte
-30.0318,-51.2065,Rio Grande do Sul
-22.9129,-43.2003,Rio de Janeiro
-8.76077,-63.8999,Rondônia
2.82384,-60.6753,Roraima
-27.5945,-48.5477,Santa Catarina
-10.9091,-37.0677,Sergipe
-23.5329,-46.6395,São Paulo
-10.24,-48.3558,Tocantins
